line1Length,line1Tilt,line2Length,line2Tilt
2.94,88.2,2.94,68.8
2,1.1,2,0.9
2.48,54.2,2.89,65.5
2.59,64.1,2.92,84.4
2.23,13.5,2.23,19.5
2.28,16.6,2.28,3.1
2.2,9.6,2.2,13.5
2.82,77.4,2.26,14.9
2.53,57.1,2.21,23.9
2.08,22.2,2.08,32
2.01,2.3,2.6,50.1
2.54,38.9,2.24,22.5
2,13.9,2.76,65.4
2.19,22.6,2.91,79.5
3,85.5,3,80.2
2.74,68.2,2.1,7.9
2.45,41.7,2.45,30.7
2.28,25.5,2.28,33
2.68,59.7,2.68,51
2.85,67.6,2.49,32.4
2.15,7.4,2.15,16.2
2.95,84.6,2.14,6.8
2.39,29.6,2.39,35.7
2.15,8.6,2.15,20.1
2.65,53,2.3,30.1
2.68,54,2,3.1
2.82,70.4,2.07,13.1
2.04,1.1,2.69,73.4
2.51,32,2.13,19.7
2.89,74.8,2.61,51.7
2.09,16.9,2.58,61.5
2.28,28.1,2.28,26.9
2,2.6,2,1.9
2.74,58.2,2.74,61.1
2.28,19.5,2.28,36.2
2.74,53.3,2.01,0.4
2.13,10.9,2.13,16.2
2,4.8,2,6.2
2.77,60.2,2.32,27.6
2.34,37.5,2.34,43.8
