line1Length,line1Tilt,line2Length,line2Tilt
2.47,61,2.47,7.7
2.41,12.8,2.89,53.1
2.52,45.7,2.52,43.6
2.97,19.7,2.97,46.5
2.45,85.9,2.45,58.2
2.24,39.2,2.24,33.4
2.26,50,2.86,49.3
2.07,61.7,2.58,61.7
2.6,75.8,2.85,23.2
2.32,70.9,2.95,41.2
2.79,50.8,2.38,54.8
2.86,38.6,2.32,11.9
2.57,85.2,2.21,75.4
2.59,23.1,2.98,81.7
2.23,26.9,2.53,41.9
2.68,66.6,2.68,32.1
2.99,19.6,2.99,56.5
2.69,87.6,2.69,21.1
2.48,56.5,2.23,29
2.33,46.3,2.33,61.8
2.03,57.1,2.03,37.3
2.35,68.3,2.02,43.1
2.15,9.8,2.65,32.7
2.53,34.6,2.05,28.9
2.31,29,2.65,35.8
2.71,16,2.71,9.1
2.43,69.8,2.83,78.3
2.03,66.8,2.03,9.9
2.44,31.9,2.44,50.6
2.71,88.6,2.71,51.2
2.07,50,2.07,53.6
2.29,78.7,2.97,45.3
2.09,42.6,2.5,10.5
2.15,19.7,2.15,11
2.41,36.5,2.93,61
2.31,57.7,2.31,51.3
2.76,71.4,2.32,5.5
2.24,76.6,2.24,23.2
2.72,65.3,2.72,64.3
2.67,89,2.67,79.4
