line1Length,line1Saturation,line2Length,line2Saturation
2.94,98,2.94,76.5
2,1.2,2,1
2.48,60.3,2.89,72.8
2.59,71.2,2.92,93.8
2.23,15.1,2.23,21.7
2.28,18.5,2.28,3.4
2.2,10.6,2.2,15
2.82,86,2.26,16.6
2.53,63.4,2.21,26.5
2.08,24.7,2.08,35.5
2.01,2.5,2.6,55.6
2.54,43.2,2.24,25
2,15.4,2.76,72.7
2.19,25.1,2.91,88.3
3,95,3,89.1
2.74,75.8,2.1,8.8
2.45,46.3,2.45,34.1
2.28,28.3,2.28,36.7
2.68,66.3,2.68,56.7
2.85,75.1,2.49,36
2.15,8.2,2.15,18
2.95,94,2.14,7.6
2.39,32.9,2.39,39.7
2.15,9.6,2.15,22.3
2.65,58.8,2.3,33.4
2.68,60,2,3.4
2.82,78.2,2.07,14.5
2.04,1.3,2.69,81.6
2.51,35.5,2.13,21.8
2.89,83.1,2.61,57.4
2.09,18.8,2.58,68.4
2.28,31.2,2.28,29.9
2,2.8,2,2.1
2.74,64.6,2.74,67.9
2.28,21.7,2.28,40.2
2.74,59.2,2.01,0.4
2.13,12.1,2.13,18
2,5.3,2,6.9
2.77,66.9,2.32,30.6
2.34,41.7,2.34,48.7
